148,222500
677,87000
1305,130000
1373,274300
1428,140000
1128,259000
36,309000
955,127500
1297,155000
614,147000
19,159000
603,220000
1298,140000
735,108000
317,260000
29,207500
1049,115000
168,325624
757,212000
1068,167900
1260,151000
1294,162900
157,109500
1150,143000
1411,230000
37,145000
477,208900
1261,181000
513,129900
773,107000
32,149350
974,182000
947,143000
104,198900
1229,367294
934,190000
357,173000
186,475000
920,176500
62,101000
43,144000
1127,174000
172,215000
1194,165000
422,215000
77,135750
197,311872
1058,248000
738,239900
815,116000
801,200000
1043,196000
675,140000
1287,143000
308,89500
628,153000
13,144000
669,168000
170,228000
310,360000
554,108000
643,345000
1267,122000
467,167000
132,244000
841,140000
1401,120000
14,279500
825,232600
1209,140000
780,135000
667,129000
1173,171900
469,250000
105,169500
970,140000
617,183200
551,140000
445,210000
544,133000
611,313000
333,284000
977,85500
986,125000
1191,168000
503,140000
211,98000
1446,129000
1338,52500
707,302000
1256,127500
434,181000
883,178000
736,163000
189,153337
449,119500
940,244400
871,109500
1197,219210
848,133500
1186,104900
804,582933
321,342643
612,148000
257,207500
407,115000
1095,129000
352,190000
1359,177500
1116,318000
409,280000
935,242000
49,113000
1088,252000
690,194700
1214,145000
781,176000
162,412500
451,110000
832,151000
1372,165500
320,187500
1057,185850
1295,115000
190,286000
867,248900
587,130000
618,105500
915,173733
525,315750
1405,105000
645,370878
693,335000
267,185000
219,311500
261,176000
1059,335000
438,119000
349,154000
698,123500
432,79900
298,239000
385,240000
778,142500
1162,224000
250,277000
303,205000
768,160000
430,175000
1140,144000
559,175000
762,100000
1047,556581
1266,183900
1188,262000
784,165500
929,236500
117,139000
680,128500
570,135960
1170,625000
1420,223000
530,200624
1270,144000
1034,230000
750,98000
648,155000
695,141500
1096,176432
1216,125000
1273,137000
724,135000
70,225000
1416,175900
151,122000
1290,281000
1310,179200
1315,119000
382,187750
777,221500
972,173000
473,148000
742,142000
130,150000
786,161500
234,128200
1011,135000
512,202665
1157,179900
1237,175500
906,128000
968,135000
821,183000
142,260000
264,130000
227,290000
1228,147000
205,110000
276,205000
1429,119000
1255,165400
1257,301500
51,177000
262,276000
954,172000
1215,134500
1333,100000
876,303477
926,175000
454,210000
315,178000
1360,315000
1082,133000
600,151000
857,147000
1018,187500
1202,197900
585,133000
44,130250
393,106500
253,173000
156,79000
1337,135000
1012,100000
1030,118000
631,124000
311,165600
936,79900
1200,148000
895,118858
155,125000
204,149000
1352,171000
1250,119000
1102,119500
85,168500
1153,230000
1015,119200
87,174000
1144,80000
601,275000
1279,237000
389,191000
222,200000
98,94750
1038,287000
810,106000
818,271000
681,143000
139,230000
1304,232000
996,121600
1366,216000
913,88000
120,163990
685,221000
46,319900
1139,196000
912,143500
450,120000
259,231500
1020,213490
950,197500
153,190000
1456,175000
111,136900
1224,137900
651,205950
969,37900
309,82500
785,128000
1145,80000
1204,213000
164,103200
271,266000
34,165500
386,192000
930,222000
967,160000
428,109008
874,133000
487,156000
647,98300
997,136500
624,168500
1029,105000
1109,181000
1013,165000
1060,220000
891,122900
629,135000
353,95000
